frame,time_s,artificial_pulse_V,artificial_pulse_mV
0,0.0,0.0,0.0
1,0.0003864,0.0,0.0
2,0.0007728,0.0,0.0
3,0.0011592,0.0,0.0
4,0.0015456,0.0,0.0
5,0.0019320000000000001,0.0,0.0
6,0.0023184,0.0,0.0
7,0.0027048000000000003,0.0,0.0
8,0.0030912,0.0,0.0
9,0.0034776,0.0,0.0
10,0.0038640000000000002,0.0,0.0
11,0.0042504000000000005,0.0,0.0
12,0.0046368,0.0,0.0
13,0.0050232,0.0,0.0
14,0.0054096000000000005,0.0,0.0
15,0.005796,0.0,0.0
16,0.0061824,0.0,0.0
17,0.0065688000000000005,0.0,0.0
18,0.0069552,0.0,0.0
19,0.0073416,0.0,0.0
20,0.0077280000000000005,0.0,0.0
21,0.0081144,0.0,0.0
22,0.008500800000000001,0.0,0.0
23,0.0088872,0.0,0.0
24,0.0092736,0.0,0.0
25,0.00966,0.0,0.0
26,0.0100464,0.0,0.0
27,0.0104328,0.0,0.0
28,0.010819200000000001,0.0,0.0
29,0.0112056,0.0,0.0
30,0.011592,0.0,0.0
31,0.0119784,0.0,0.0
32,0.0123648,0.0,0.0
33,0.0127512,0.0,0.0
34,0.013137600000000001,0.0,0.0
35,0.013524000000000001,0.0,0.0
36,0.0139104,0.0,0.0
37,0.0142968,0.0,0.0
38,0.0146832,0.0,0.0
39,0.0150696,0.0,0.0
40,0.015456000000000001,0.0,0.0
41,0.0158424,0.0,0.0
42,0.0162288,0.0,0.0
43,0.0166152,0.0,0.0
44,0.017001600000000002,0.0,0.0
45,0.017388,0.0,0.0
46,0.0177744,0.0,0.0
47,0.0181608,0.0,0.0
48,0.0185472,0.0,0.0
49,0.018933600000000002,0.0,0.0
50,0.01932,0.0,0.0
51,0.019706400000000002,0.0,0.0
52,0.0200928,0.0,0.0
53,0.0204792,0.0,0.0
54,0.0208656,0.0,0.0
55,0.021252,0.0,0.0
56,0.021638400000000002,0.0,0.0
57,0.0220248,0.0,0.0
58,0.0224112,0.0,0.0
59,0.0227976,0.0,0.0
60,0.023184,0.0,0.0
61,0.023570400000000002,0.0,0.0
62,0.0239568,0.0,0.0
63,0.024343200000000002,0.0,0.0
64,0.0247296,0.0,0.0
65,0.025116,0.0,0.0
66,0.0255024,0.0,0.0
67,0.0258888,0.0,0.0
68,0.026275200000000002,0.0,0.0
69,0.0266616,0.0,0.0
70,0.027048000000000003,0.0,0.0
71,0.0274344,0.0,0.0
72,0.0278208,0.0,0.0
73,0.0282072,0.0,0.0
74,0.0285936,0.0,0.0
75,0.028980000000000002,0.0,0.0
76,0.0293664,0.0,0.0
77,0.0297528,0.0,0.0
78,0.0301392,0.0,0.0
79,0.0305256,0.0,0.0
80,0.030912000000000002,0.0,0.0
81,0.031298400000000004,0.0,0.0
82,0.0316848,0.0,0.0
83,0.0320712,0.0,0.0
84,0.0324576,0.0,0.0
85,0.032844,0.0,0.0
86,0.0332304,0.0,0.0
87,0.0336168,0.0,0.0
88,0.034003200000000004,0.0,0.0
89,0.0343896,0.0,0.0
90,0.034776,0.0,0.0
91,0.0351624,0.0,0.0
92,0.0355488,0.0,0.0
93,0.0359352,0.0,0.0
94,0.0363216,0.0,0.0
95,0.036708000000000005,0.0,0.0
96,0.0370944,0.0,0.0
97,0.0374808,0.0,0.0
98,0.037867200000000004,0.0,0.0
99,0.0382536,0.0,0.0
100,0.03864,0.0,0.0
101,0.0390264,0.0,0.0
102,0.039412800000000005,0.0,0.0
103,0.0397992,0.0,0.0
104,0.0401856,0.0,0.0
105,0.040572000000000004,0.0,0.0
106,0.0409584,0.0,0.0
107,0.0413448,0.0,0.0
108,0.0417312,0.0,0.0
109,0.0421176,0.0,0.0
110,0.042504,0.0,0.0
111,0.0428904,0.0,0.0
112,0.043276800000000004,0.0,0.0
113,0.0436632,0.0,0.0
114,0.0440496,0.0,0.0
115,0.044436,0.0,0.0
116,0.0448224,0.0,0.0
117,0.0452088,0.0,0.0
118,0.0455952,0.0,0.0
119,0.045981600000000004,0.0,0.0
120,0.046368,0.0,0.0
121,0.0467544,0.0,0.0
122,0.047140800000000004,0.0,0.0
123,0.0475272,0.0,0.0
124,0.0479136,0.0,0.0
125,0.0483,0.0,0.0
126,0.048686400000000005,0.0,0.0
127,0.0490728,0.0,0.0
128,0.0494592,0.0,0.0
129,0.049845600000000004,0.0,0.0
130,0.050232,0.0,0.0
131,0.0506184,0.0,0.0
132,0.0510048,0.0,0.0
133,0.051391200000000005,0.0,0.0
134,0.0517776,0.0,0.0
135,0.052164,0.0,0.0
136,0.052550400000000004,0.0,0.0
137,0.0529368,0.0,0.0
138,0.0533232,0.0,0.0
139,0.0537096,0.0,0.0
140,0.054096000000000005,0.0,0.0
141,0.0544824,0.0,0.0
142,0.0548688,0.0,0.0
143,0.055255200000000004,-0.01,-10.0
144,0.0556416,-0.01,-10.0
145,0.056028,-0.01,-10.0
146,0.0564144,-0.01,-10.0
147,0.056800800000000005,-0.01,-10.0
148,0.0571872,-0.01,-10.0
149,0.0575736,-0.01,-10.0
150,0.057960000000000005,-0.01,-10.0
151,0.0583464,-0.01,-10.0
152,0.0587328,-0.01,-10.0
153,0.059119200000000004,-0.01,-10.0
154,0.0595056,-0.01,-10.0
155,0.059892,-0.01,-10.0
156,0.0602784,0.01,10.0
157,0.060664800000000005,0.01,10.0
158,0.0610512,0.01,10.0
159,0.0614376,0.01,10.0
160,0.061824000000000004,0.01,10.0
161,0.0622104,0.01,10.0
162,0.06259680000000001,0.01,10.0
163,0.0629832,0.01,10.0
164,0.0633696,0.01,10.0
165,0.06375600000000001,0.01,10.0
166,0.0641424,0.01,10.0
167,0.0645288,0.01,10.0
168,0.0649152,0.01,10.0
169,0.0653016,0.0,0.0
170,0.065688,0.0,0.0
171,0.0660744,0.0,0.0
172,0.0664608,0.0,0.0
173,0.0668472,0.0,0.0
174,0.0672336,0.0,0.0
175,0.06762,0.0,0.0
176,0.06800640000000001,0.0,0.0
177,0.0683928,0.0,0.0
178,0.0687792,0.0,0.0
179,0.06916560000000001,0.0,0.0
180,0.069552,0.0,0.0
181,0.0699384,0.0,0.0
182,0.0703248,0.0,0.0
183,0.0707112,0.0,0.0
184,0.0710976,0.0,0.0
185,0.071484,0.0,0.0
186,0.0718704,0.0,0.0
187,0.0722568,0.0,0.0
188,0.0726432,0.0,0.0
189,0.0730296,0.0,0.0
190,0.07341600000000001,0.0,0.0
191,0.0738024,0.0,0.0
192,0.0741888,0.0,0.0
193,0.07457520000000001,0.0,0.0
194,0.0749616,0.0,0.0
195,0.075348,0.0,0.0
196,0.07573440000000001,0.0,0.0
197,0.0761208,0.0,0.0
198,0.0765072,0.0,0.0
199,0.0768936,0.0,0.0
200,0.07728,0.0,0.0
201,0.0776664,0.0,0.0
202,0.0780528,0.0,0.0
203,0.0784392,0.0,0.0
204,0.07882560000000001,0.0,0.0
205,0.079212,0.0,0.0
206,0.0795984,0.0,0.0
207,0.07998480000000001,0.0,0.0
208,0.0803712,0.0,0.0
209,0.0807576,0.0,0.0
210,0.08114400000000001,0.0,0.0
211,0.0815304,0.0,0.0
212,0.0819168,0.0,0.0
213,0.0823032,0.0,0.0
214,0.0826896,0.0,0.0
215,0.083076,0.0,0.0
216,0.0834624,0.0,0.0
217,0.0838488,0.0,0.0
218,0.0842352,0.0,0.0
219,0.0846216,0.0,0.0
220,0.085008,0.0,0.0
221,0.08539440000000001,0.0,0.0
222,0.0857808,0.0,0.0
223,0.0861672,0.0,0.0
224,0.08655360000000001,0.0,0.0
225,0.08694,0.0,0.0
226,0.0873264,0.0,0.0
227,0.08771280000000001,0.0,0.0
228,0.0880992,0.0,0.0
229,0.0884856,0.0,0.0
230,0.088872,0.0,0.0
231,0.0892584,0.0,0.0
232,0.0896448,0.0,0.0
233,0.0900312,0.0,0.0
234,0.0904176,0.0,0.0
235,0.09080400000000001,0.0,0.0
236,0.0911904,0.0,0.0
237,0.0915768,0.0,0.0
238,0.09196320000000001,0.0,0.0
239,0.0923496,0.0,0.0
240,0.092736,0.0,0.0
241,0.09312240000000001,0.0,0.0
242,0.0935088,0.0,0.0
243,0.0938952,0.0,0.0
244,0.09428160000000001,0.0,0.0
245,0.094668,0.0,0.0
246,0.0950544,0.0,0.0
247,0.0954408,0.0,0.0
248,0.0958272,0.0,0.0
249,0.09621360000000001,0.0,0.0
250,0.0966,0.0,0.0
251,0.0969864,0.0,0.0
252,0.09737280000000001,0.0,0.0
253,0.0977592,0.0,0.0
254,0.0981456,0.0,0.0
255,0.09853200000000001,0.0,0.0
256,0.0989184,0.0,0.0
257,0.0993048,0.0,0.0
258,0.09969120000000001,0.0,0.0
259,0.1000776,0.0,0.0
260,0.100464,0.0,0.0
261,0.1008504,0.0,0.0
262,0.1012368,0.0,0.0
263,0.1016232,0.0,0.0
264,0.1020096,0.0,0.0
265,0.102396,0.0,0.0
266,0.10278240000000001,0.0,0.0
267,0.1031688,0.0,0.0
268,0.1035552,0.0,0.0
269,0.10394160000000001,0.0,0.0
270,0.104328,0.0,0.0
271,0.1047144,0.0,0.0
272,0.10510080000000001,0.0,0.0
273,0.1054872,0.0,0.0
274,0.1058736,0.0,0.0
275,0.10626000000000001,0.0,0.0
276,0.1066464,0.0,0.0
277,0.1070328,0.0,0.0
278,0.1074192,0.0,0.0
279,0.1078056,0.0,0.0
280,0.10819200000000001,0.0,0.0
